trans_num,trans_date_trans_time,amt,merchant,category,is_fraud,rule_flags,rule_triggered,anomaly,anomaly_score,predicted_fraud,fraud_probability,risk_score,risk_level
sim_1830fd7c-d7dc-4e4e-a714-26ee8871ed9c,2024-03-15 13:23:51,4.6900,"fraud_Reichert, Rowe and Mraz",shopping_net,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16647km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_93bef79c-dd44-4c02-bfb3-37fbbbe6c067,2024-03-15 14:12:38,1.3100,fraud_Donnelly PLC,misc_net,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15854km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (9 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_8f5d4374-8914-403f-ac0e-32e8575d1c2b,2024-03-15 16:04:12,4.3700,fraud_Berge-Hills,kids_pets,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16051km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (10 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_1b0ec6c3-d9c0-4718-8cb8-44ef9a61cef2,2024-03-15 18:07:22,41.0000,fraud_McGlynn-Jaskolski,misc_pos,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15346km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (11 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_646ea016-08a7-4e44-823c-9af645060249,2024-03-15 18:21:56,106.2700,"fraud_Wuckert, Wintheiser and Friesen",home,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16983km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (11 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_e6f47bc4-5f30-4faf-8355-e6d9ca5d7e26,2024-03-16 00:14:59,71.4800,fraud_Schulist Ltd,food_dining,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16880km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (11 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_25c78c11-e1fa-4629-89e3-a8c521aa99e3,2024-03-16 00:34:53,24.4400,"fraud_Walter, Hettinger and Kessler",personal_care,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (17040km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (12 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_336cdc15-79f2-4ece-bf22-01c123a03d97,2024-03-16 05:04:37,75.6300,fraud_Bode-Rempel,kids_pets,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16415km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (11 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_cdb8fc5b-c44b-4b25-910f-8ae93b38a8bb,2024-03-16 06:09:00,32.5300,fraud_Wisozk and Sons,misc_pos,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16993km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (11 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_6e02fdfe-a66d-4ab6-9646-910f955c405c,2024-03-16 09:35:29,1.5700,"fraud_Haley, Batz and Auer",health_fitness,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16069km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (12 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_6aed6f5d-0cb7-4498-badc-58bf9497f5d4,2024-03-16 14:06:57,43.5700,fraud_Cummerata-Jones,gas_transport,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16184km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (10 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_bb921cc1-81e7-459a-b938-f29fd4e7952c,2024-03-16 15:58:57,162.0000,fraud_Pfeffer and Sons,shopping_pos,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16273km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (10 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_a791f188-8586-4169-9c0a-7b2a2055fede,2024-03-16 16:11:26,9.7000,"fraud_Cremin, Hamill and Reichel",misc_pos,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15428km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (10 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_87fc26db-00e6-41e3-a795-b9e27f7bcca7,2024-03-16 18:17:31,134.1100,fraud_Lynch Ltd,shopping_pos,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (17036km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (10 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_abf3b190-9a28-400a-bbf1-58dc7b94af98,2024-03-16 21:31:12,102.4500,fraud_McCullough Group,grocery_net,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16413km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (10 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_061dbda5-0f41-450e-859e-8f751c9a79d9,2024-03-17 03:22:58,1.5000,fraud_Lynch-Wisozk,home,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16678km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (9 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_43c669b8-331f-45bb-836a-5608a9db73df,2024-03-17 08:12:13,1.5300,fraud_Skiles LLC,home,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (18832km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_8d93424f-5476-4b9d-9195-9f1c266235df,2024-03-17 08:45:52,32.5100,fraud_Skiles LLC,home,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15899km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (9 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_cd5b3683-0afd-4daf-8296-bdf855478aa6,2024-03-17 11:38:58,60.4200,fraud_McDermott-Weimann,grocery_pos,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16694km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (9 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_f4d210f8-018c-4fcf-ab82-27399bf266c9,2024-03-17 16:59:23,249.7900,"fraud_Little, Gutmann and Lynch",shopping_net,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16933km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (7 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_948095ca-3331-4f20-8ae4-1855e8fed95d,2024-03-17 19:46:20,26.7700,fraud_Gaylord-Powlowski,home,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (17185km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (7 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_4e42ea39-3047-4252-baa9-0a85d7832ed7,2024-03-17 20:52:55,47.9500,fraud_Bernhard Inc,gas_transport,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16206km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_4c2df4d2-ec74-40b4-bbff-63f3574823f1,2024-03-18 01:15:30,9.2300,"fraud_Swaniawski, Lowe and Robel",shopping_pos,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16732km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_3d650d03-96bc-4585-87ab-e017cd362d19,2024-03-18 01:38:12,1.6300,fraud_Medhurst PLC,shopping_net,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (17519km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (9 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_00cf44ef-fabc-49cd-b5bb-990e24353340,2024-03-18 03:35:41,163.7800,"fraud_Streich, Rolfson and Wilderman",kids_pets,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15837km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (9 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_853744bc-a2a5-4600-9d6c-18f2a6ad35de,2024-03-18 09:29:53,27.3700,fraud_Kuhic Inc,grocery_pos,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15547km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_a2733c49-cff2-4781-9092-648dbbdaee66,2024-03-18 12:40:39,28.2900,fraud_Homenick LLC,personal_care,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15925km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_323f1b0c-3629-4313-a229-fc258ce98a31,2024-03-18 14:48:42,2.1600,fraud_Auer-West,shopping_net,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15420km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (9 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_d1a6a900-5976-4779-b42e-771fad6bcf6b,2024-03-18 18:53:04,44.4400,fraud_Marks Inc,gas_transport,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16520km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (9 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_428d01ea-540e-46a5-a4f5-f1b3d0a68941,2024-03-18 19:07:45,47.7000,"fraud_Schaefer, Maggio and Daugherty",gas_transport,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (17168km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (10 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_62cfda77-1928-422d-869c-da024444f6b2,2024-03-18 23:18:57,6.1900,fraud_Hamill-Daugherty,misc_net,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15906km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (9 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_76424d2d-2750-4cf2-9321-4ae57bc178f3,2024-03-19 05:18:57,88.3800,fraud_Cummings Group,grocery_net,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16655km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (7 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_f1880014-c320-45a8-9b09-74d665b83726,2024-03-19 06:11:44,60.0300,"fraud_Greenholt, Jacobi and Gleason",gas_transport,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15937km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_5f1305f0-795a-41f6-bd47-8394b5f1b6da,2024-03-19 11:34:41,8.8500,fraud_Wuckert-Goldner,home,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (18705km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_3910625e-9716-4f23-98de-9a7490ba2eca,2024-03-19 11:49:04,44.3500,fraud_Ernser-Lynch,food_dining,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15914km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (9 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_aa678f24-8474-4884-9610-78fe383877a0,2024-03-19 15:47:23,6.7600,fraud_Bogisich-Homenick,misc_net,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16308km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_ecf6a744-bcd5-4c8f-a746-8e232294ac54,2024-03-19 16:26:56,14.8300,fraud_Reichel LLC,personal_care,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16639km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (9 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_d65214af-da8a-47d7-b126-4a506f4329a0,2024-03-19 20:19:07,4.9200,fraud_Gottlieb-Hansen,personal_care,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16372km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_67c4013a-15c6-4052-8d19-de1c8a62fe05,2024-03-19 21:35:16,112.3000,fraud_Abshire PLC,entertainment,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (17015km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (9 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_22eed888-1f47-43ab-9d2f-b68cc1d9aebc,2024-03-20 01:31:20,321.8000,fraud_Bednar Group,misc_net,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (17987km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (9 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_6e98a1f6-b26e-4ce8-bdfc-f6d7ece9a8b3,2024-03-20 04:24:07,1.6500,fraud_Quitzon-Goyette,home,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15790km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (10 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_8c9994b7-7e7f-4f78-a5f9-26d4e989a7d9,2024-03-20 08:33:40,65.9600,fraud_Marks Inc,gas_transport,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15677km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (9 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_d97d6475-d79f-4ad8-93f3-634699868762,2024-03-20 13:25:57,18.9200,"fraud_Moore, Williamson and Emmerich",home,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16198km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_9e1f5d06-74bf-4366-b27a-3548f3c64ff5,2024-03-20 16:19:15,103.7600,fraud_Rutherford-Mertz,grocery_pos,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (17626km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_5cc78910-5d10-4bdf-a964-a90a675e65b9,2024-03-20 21:36:14,419.1500,"fraud_Okuneva, Schneider and Rau",shopping_pos,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (18955km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (6 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_a365369a-fa7f-4b75-b68f-0b07aefadccc,2024-03-21 03:14:13,47.8400,fraud_Berge-Hills,kids_pets,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (17642km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (6 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_605a186c-0d65-49e2-a2eb-4800614a0cd0,2024-03-21 03:18:43,6.2900,"fraud_Baumbach, Feeney and Morar",shopping_net,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (18073km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (7 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_3e923b78-4264-443b-9df7-a4e4082199cb,2024-03-21 09:06:04,203.6300,"fraud_Effertz, Welch and Schowalter",entertainment,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16903km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (6 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_9695f943-c9b5-4940-bf55-afd3a6967b93,2024-03-21 11:09:06,7.1300,fraud_Altenwerth-Kilback,home,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (17494km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (7 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_867dc6d0-dd28-4620-acb8-06b26861a2dc,2024-03-21 13:45:52,19.8000,fraud_Jast Ltd,shopping_net,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (19081km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (7 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_b7936e91-5bb0-42b1-b0db-fe8cdb87f3a1,2024-03-21 15:38:13,504.3800,fraud_Ankunding-Carroll,travel,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15629km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_3246aede-33c9-4118-86f6-edfa612db85e,2024-03-21 20:35:00,18.1800,fraud_Gleason and Sons,kids_pets,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15479km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_77d2d0e5-2d8a-4263-a97e-e71bf2ac75cd,2024-03-22 01:45:15,59.8500,fraud_Kihn-Schuster,food_dining,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (18156km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_988f3437-a864-416d-ab57-09020724235c,2024-03-22 06:09:38,53.7500,fraud_Harris Inc,gas_transport,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15673km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (7 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_e90c1533-203f-4806-975d-c069c0a1ba91,2024-03-22 06:18:03,106.0800,fraud_Marvin-Lind,personal_care,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15807km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_74eb752d-06d4-43c4-8ee5-cbc4ab6573b6,2024-03-22 11:57:59,3.9500,fraud_Mosciski Group,travel,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15517km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (7 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_290e6df4-ad6f-42c1-9edb-c3ada017ed15,2024-03-22 17:15:54,49.2200,fraud_Romaguera Ltd,health_fitness,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15549km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (6 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_63878583-fe5e-4bdf-8f69-cbe90bf95e72,2024-03-22 18:42:51,176.1400,"fraud_Herman, Treutel and Dickens",misc_net,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16233km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (7 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_b7494178-bdc0-49f7-82f1-f3d443313ed0,2024-03-22 19:12:18,39.5600,"fraud_Roberts, Ryan and Smith",personal_care,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (18503km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_55573857-c2a3-47ad-942d-0bb2a9e0fb7a,2024-03-22 22:22:02,82.8200,fraud_Rutherford-Mertz,grocery_pos,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (17251km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_808d4b52-bc86-490d-a8c8-c570048c8cb2,2024-03-23 02:21:12,12.8000,"fraud_Kling, Howe and Schneider",home,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15855km > 500km); RULE_VIOLATION:HIGH_VELOCITY_RECENT_ACCOUNT (8 trans in 24h > 5),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_3c1b24c1-262f-4517-a708-ec04e7fcbfc1,2024-03-23 08:02:22,43.3800,"fraud_Connelly, Reichert and Fritsch",gas_transport,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (16726km > 500km),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_90c5e62a-ef11-4574-9214-478d5e759a62,2024-03-23 11:10:21,91.6000,fraud_Bogisich Inc,grocery_pos,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (17341km > 500km),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_57376929-0d4b-4e08-8a6a-1b0352f47fa8,2024-03-23 12:13:23,62.1800,fraud_Adams-Barrows,health_fitness,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (15925km > 500km),1,0.0000,0.0000,0,0.0000,0.3000,Low
sim_0350a0c4-0443-42ae-8853-4fa86e63c3fd,2024-03-23 17:01:39,8.4500,fraud_Beier-Hyatt,shopping_pos,0,RULE_VIOLATION:LOCATION_FAR_FROM_HOME (17858km > 500km),1,0.0000,0.0000,0,0.0000,0.3000,Low
